"","cluster","centrality","density","size","cluster_title","cluster_members","sample_members","department","centrality_std","density_std"
"16",6,4.8,0.173684210526316,20,"umat","umat; pemahaman; lansia; adorasi; keaktifan; sakramen mahakudus; perayaan ekaristi; doa rosario; hidup berbangsa; injil; lectio divina; misi; novena kebangsaan; visi; buku cetak; inkulturasi; kunjungan pastoral; minggu; tarian adat; karya kerasulan","umat; pemahaman; lansia; adorasi; keaktifan; sakramen mahakudus; perayaan ekaristi; doa rosario; hidup berbangsa; injil","PAK",0.237581001729868,-0.63533169519607
"17",10,4.61538461538461,0.320512820512821,13,"persaudaraan","persaudaraan; budaya; ekaristi; imlek; inkulturatif; katekese kebangsaan; manusiawi; perjumpaan; tionghoa; fransiskan; santo fransiskus; kaum muda; persekutuan umat","persaudaraan; budaya; ekaristi; imlek; inkulturatif; katekese kebangsaan; manusiawi; perjumpaan; tionghoa; fransiskan","PAK",0.0834353772087735,0.155075505295361
"18",12,3,0.6,6,"tantangan","tantangan; hidup berkeluarga; kristiani; zaman modern; kesetiaan; perkawinan","tantangan; hidup berkeluarga; kristiani; zaman modern; kesetiaan; perkawinan","PAK",-1.26533883735075,1.65960979961314
"19",18,2.66666666666667,0.466666666666667,6,"orang muda","orang muda; kepengurusan; lintas iman; panggilan; paroki; toleransi","orang muda; kepengurusan; lintas iman; panggilan; paroki; toleransi","PAK",-1.54365732606939,0.941850319755119
"20",1,5.97435897435897,0.11336032388664,39,"berbicara","berbicara; keterampilan berbicara; video; mendengarkan; instagram; kesalahan; bahan ajar tambahan; bahan ajar; keterampilan mendengarkan; tiktok; bermain peran; kata benda; pengucapan; pembelajaran berbasis gim; diftong; bahasa gaul; berbicara publik; dialek digital; kepercayaan diri; klub; pembelajaran berbasis tugas; messenger; autonomi; gelar wicara; komunikasi; takarir; lintas budaya; akurasi; berbicara spontan; formasi kata; hambatan; idiom; kecerdasan majemuk; kehidupan spiritual; kemampuan berbicara; whole brain teaching; pola diftong; konten edukasi; respons kritis","berbicara; keterampilan berbicara; video; mendengarkan; instagram; kesalahan; bahan ajar tambahan; bahan ajar; keterampilan mendengarkan; tiktok","PBI",1.10480899279538,-0.882091760399483
"21",2,3.78571428571429,0.252747252747253,14,"lagu","lagu; lirik; album musik; bahasa figuratif; duka cita; metafora; tahapan berduka; video musik; broken home; sosiologi; afiks infleksi; fonologi; hiperbola; film serial","lagu; lirik; album musik; bahasa figuratif; duka cita; metafora; tahapan berduka; video musik; broken home; sosiologi","PBI",-0.765764938989513,0.038946647048878
"22",3,4.6,0.0663461538461538,65,"film","film; novel; analisis tokoh; motivasi; tokoh utama; skrip; kepribadian; perkembangan kepribadian; buku; kata; moral; nilai pendidikan; nonfiksi; feminisme; feminisme liberal; dampak negatif; gaya bahasa; ketekunan; manusia; relasi; serial film; studi psikoanalisis; tokoh minor; teknologi; antagonis; aktualisasi diri; analisis psikologis; analisis sosiolinguistik; fitur bahasa; konflik psikologis; mekanisme coping; pembelaan diri; realitas psikologis; trauma; trauma masa kecil; slang; identitas ganda; tanggung jawab; trader; strategi coping; trauma psikologis; ekspresi idiomatik; analisis biografi; bom atom; bunuh diri; ciri-ciri kepribadian; debat presidensial; diskriminasi gender; elemen intrinsik; karakter minor; kecerdasan spiritual; kedewasaan emosional; kepemimpinan; literasi; maskulinitas hegemonik; skrip film; studi gender; sejarah; puisi; karakteristik; pidato politik; jenis kelamin; perlindungan diri; cinta; mekanisme pertahanan diri","film; novel; analisis tokoh; motivasi; tokoh utama; skrip; kepribadian; perkembangan kepribadian; buku; kata","PBI",-0.0698175163354858,-1.19275113610678
"23",4,6.84444444444444,0.119191919191919,45,"persepsi","persepsi; menulis; tata bahasa; kecemasan; ai; pengalaman hidup; menulis akademik; motivasi belajar; pengetahuan; kecemasan berbicara; presentasi; teks deskriptif; teks naratif; chatgpt; keterampilan menulis; canva; digital; hasil belajar; keterampilan menjelaskan; kompetensi menulis; menjelaskan; perangkat lunak; storytelling; simulasi; flipped learning; efikasi diri; keyakinan; literasi digital; parafrase; partisipasi; quillbot; bahasa asing; film bisu; grammarly; mind mapping; padlet; pengalaman; twitter; aktivitas pembelajaran; daftar kata akademik; menulis deskriptif; metode pengajaran; penghargaan; metakognitif; organisasi","persepsi; menulis; tata bahasa; kecemasan; ai; pengalaman hidup; menulis akademik; motivasi belajar; pengetahuan; kecemasan berbicara","PBI",1.84844691959589,-0.843557851253464
"24",5,6.34615384615385,0.178461538461538,26,"kosakata","kosakata; game; media; permainan; kartu; media pembelajaran; kata sifat; aplikasi; korelasi; wordwall; cerita; flashcard; kitab suci; mobile; papan; ular tangga; ekspresi bahasa; keterampilan membaca; percakapan sehari-hari; telop; akhiran; gambar; game online; monopoli; mobile legends; klausa","kosakata; game; media; permainan; kartu; media pembelajaran; kata sifat; aplikasi; korelasi; wordwall","PBI",1.4225717611237,-0.451917141551407
"25",6,4.14285714285714,0.263736263736264,14,"membaca","membaca; kooperatif; komprehensi; website; jigsaw; buku cerita; identitas seminarian; membaca ekstensif; minat; minat baca; mreader; analisis butir soal; istilah; peminjaman leksikal","membaca; kooperatif; komprehensi; website; jigsaw; buku cerita; identitas seminarian; membaca ekstensif; minat; minat baca","PBI",-0.460524841334243,0.11155963352821
"26",7,4.52941176470588,0.205882352941176,17,"keterlibatan","keterlibatan; kolaborasi; berpikir kritis; pembelajaran kolaboratif; gamifikasi; keterampilan bahasa inggris; media sosial; penggemar; sepak bola; google docs; keterlibatan afektif; pembelajaran daring; refleksi; keterampilan kolaborasi; keterlibatan perilaku; nearpod; pendekatan berbasis genre","keterlibatan; kolaborasi; berpikir kritis; pembelajaran kolaboratif; gamifikasi; keterampilan bahasa inggris; media sosial; penggemar; sepak bola; google docs","PBI",-0.13014732387206,-0.270726383524746
"27",8,3.69230769230769,0.269230769230769,13,"umpan balik","umpan balik; pengajaran; umpan balik sejawat; pendahuluan; penutupan; performa mengajar; kelas mikro; keterampilan menanya; keterampilan penegasan; keterampilan pengajaran; menanya; penegasan; stimulus","umpan balik; pengajaran; umpan balik sejawat; pendahuluan; penutupan; performa mengajar; kelas mikro; keterampilan menanya; keterampilan penegasan; keterampilan pengajaran","PBI",-0.84559696453013,0.147866126767872
"28",9,4,0.208333333333333,16,"guru","guru; pascapandemi; studi kasus; tantangan; bahasa inggris; bahasa pengantar; hukuman; kelakuan buruk; kurikulum merdeka; lms; akm; kelas luring; kesiapan; kesulitan; keterampilan sosial; merdeka belajar","guru; pascapandemi; studi kasus; tantangan; bahasa inggris; bahasa pengantar; hukuman; kelakuan buruk; kurikulum merdeka; lms","PBI",-0.582620880396351,-0.254530839971757
"29",14,3.33333333333333,0.466666666666667,6,"buku teks","buku teks; gender; citra; swaajar; representasi gender; turis","buku teks; gender; citra; swaajar; representasi gender; turis","PBI",-1.15240239601954,1.4524794505132
"30",16,4.25,0.571428571428571,8,"calon guru","calon guru; emosi; pembelajaran hibrida; pembelajaran riil; praktik mengajar; identitas; karier; praktik pengajaran","calon guru; emosi; pembelajaran hibrida; pembelajaran riil; praktik mengajar; identitas; karier; praktik pengajaran","PBI",-0.368952812037657,2.14472325494948
"31",1,5.41666666666667,0.348484848484849,12,"literasi sains","literasi sains; evaluasi; ekologi; instrumen; sistem imun; menjelaskan fenomena ilmiah; merancang penyelidikan ilmiah; sistem gerak; bioteknologi; sistem gerak manusia; buku ajar; geschool","literasi sains; evaluasi; ekologi; instrumen; sistem imun; menjelaskan fenomena ilmiah; merancang penyelidikan ilmiah; sistem gerak; bioteknologi; sistem gerak manusia","PBio",0.512432350739023,-0.360711419667032
"32",2,6.66666666666667,0.210144927536232,24,"hasil belajar","hasil belajar; motivasi belajar; pembelajaran berbasis projek; minat belajar; problem based learning; perubahan lingkungan; kooperatif; sistem ekskresi; discovery learning; flipped learning; keaktifan; animalia; kepedulian lingkungan; laboratorium virtual; tgt; tps; fenomena ilmiah; interpersonal; jaringan hewan; kecerdasan majemuk; pascapembelajaran daring; sscs; gallery walk; keanekaragaman hayati","hasil belajar; motivasi belajar; pembelajaran berbasis projek; minat belajar; problem based learning; perubahan lingkungan; kooperatif; sistem ekskresi; discovery learning; flipped learning","PBio",1.60098084147076,-1.27355677722681
"33",3,5,0.333333333333333,10,"media","media; online; video; animasi; powerpoint; digital; pemanasan global; sistem peredaran darah; sistem reproduksi manusia; game","media; online; video; animasi; powerpoint; digital; pemanasan global; sistem peredaran darah; sistem reproduksi manusia; game","PBio",0.149582853828442,-0.460689720733108
"34",4,5.41666666666667,0.318181818181818,12,"persepsi","persepsi; profil pelajar pancasila; penilaian harian; guru; karakter; kepedulian linkungan; penilaian berbasis kertas; sistem reproduksi; literasi digital; covid-19; pascapandemi; sistem regulasi","persepsi; profil pelajar pancasila; penilaian harian; guru; karakter; kepedulian linkungan; penilaian berbasis kertas; sistem reproduksi; literasi digital; covid-19","PBio",0.512432350739023,-0.560668021799177
"35",5,3.33333333333333,0.6,6,"kesulitan belajar","kesulitan belajar; biologi; komparasi; nonbiologi; hereditas; ipa","kesulitan belajar; biologi; komparasi; nonbiologi; hereditas; ipa","PBio",-1.30181513381387,1.29892837802973
"36",6,4.25,0.392857142857143,8,"pembelajaran berdiferensiasi","pembelajaran berdiferensiasi; kurikulum merdeka; virus; modul ajar; inovasi teknologi biologi; kesiapan; kesulitan; keterampilan 6c","pembelajaran berdiferensiasi; kurikulum merdeka; virus; modul ajar; inovasi teknologi biologi; kesiapan; kesulitan; keterampilan 6c","PBio",-0.503546240610598,-0.0679178236878281
"37",9,3.71428571428571,0.619047619047619,7,"program adiwiyata","program adiwiyata; hemat energi; listrik; perilaku; sumber daya air; hasil tanam; partisipasi","program adiwiyata; hemat energi; listrik; perilaku; sumber daya air; hasil tanam; partisipasi","PBio",-0.970067022352774,1.42461538508422
"38",1,4.39393939393939,0.125,33,"novel","novel; perempuan; feminisme; tokoh utama; citra; perlawanan; diskriminasi; feminisme ideologis; feminisme marxis; terjemahan; majas perbandingan; broken home; kepribadian; penokohan; perempunan; perjuangan; respons emosi; stigma negatif; trauma kejiwaan; konflik batin; karakter; kesepadanan gramatikal; makna tokoh; memori; perjuangan hidup; surah; teks keagamaan; transmisi memori; sosial; ekologi; kekerasan; tradisi lisan; realitas sosial","novel; perempuan; feminisme; tokoh utama; citra; perlawanan; diskriminasi; feminisme ideologis; feminisme marxis; terjemahan","PBSI",0.0879711551381843,-1.04767438353343
"39",2,6.05263157894737,0.137980085348506,38,"guru","guru; membaca; motivasi; identitas; membaca akademik; resiliensi; efikasi diri; keterlibatan; komprehensi; minat; korelasi; kurikulum merdeka; buku teks; kesejahteraan; persepsi diri; regulasi dari; pembelajaran daring; agensi; keyakinan epistemik; membaca kritis; sikap; kebutuhan siswa; persepsi; pencarian bantuan; profesionalisme; menulis kreatif; budaya lokal; desain mundur; experiential learning; gender; keberlanjutan; pengetahuan linguistik; manajemen emosi; religius; panti asuhan; kepemimpinan; siswa; sikap membaca","guru; membaca; motivasi; identitas; membaca akademik; resiliensi; efikasi diri; keterlibatan; komprehensi; minat","PBSI",1.46059779682809,-0.96763703443036
"40",3,3.33333333333333,0.361111111111111,9,"instagram","instagram; tuturan kebencian; bahasa gaul; kreativitas; kreativitas linguistik; fungsi bahasa; ketidaksantunan berbahasa; pembentukan bahasa; twitter","instagram; tuturan kebencian; bahasa gaul; kreativitas; kreativitas linguistik; fungsi bahasa; ketidaksantunan berbahasa; pembentukan bahasa; twitter","PBSI",-0.789717995557765,0.408225706467861
"41",4,5.59090909090909,0.229437229437229,22,"media","media; media pembelajaran; puisi; canva; modul; penutur asing; kuis; kuis interaktif; swaajar; audio visual; drama; film dokumenter; infografis; modul pembelajaran; musikalisasi puisi; teks prosedur; animasi; karya ilmiah; modul digital; keterampilan membaca; penghambat; penghambat linguistik","media; media pembelajaran; puisi; canva; modul; penutur asing; kuis; kuis interaktif; swaajar; audio visual","PBSI",1.07850605378076,-0.403697185587867
"42",5,4.44,0.163333333333333,25,"film","film; youtube; tindak tutur ilokusi; video; kesantunan berbahasa; pemilu; tindak tutur direktif; argumentasi; kebijakan publik; politik; tindak tutur komisif; wacana; campur kode; alih kode; jawa; kehidupan sehari-hari; tokoh; tuturan; remaja; dialog; program acara; cura personalis; interaksi sosial; konflik sosial; tutur tindak ilokusi","film; youtube; tindak tutur ilokusi; video; kesantunan berbahasa; pemilu; tindak tutur direktif; argumentasi; kebijakan publik; politik","PBSI",0.126087941111269,-0.811304721862636
"43",6,2.2,0.222222222222222,10,"multimodalitas","multimodalitas; cerita rakyat; cerita pendek; digital; nilai sosial; unsur intrinsik; buku; buku ajar; kerusakan alam; masalah sosial","multimodalitas; cerita rakyat; cerita pendek; digital; nilai sosial; unsur intrinsik; buku; buku ajar; kerusakan alam; masalah sosial","PBSI",-1.72759154515858,-0.44818611117996
"44",7,4.76923076923077,0.333333333333333,13,"gaya bahasa","gaya bahasa; televisi; iklan; makanan berat; makanan ringan; slogan; siniar; kerja sama; majas pertautan; majas pertentangan; maksim; acara komedi; bahasa sindiran","gaya bahasa; televisi; iklan; makanan berat; makanan ringan; slogan; siniar; kerja sama; majas pertautan; majas pertentangan","PBSI",0.398538085384447,0.236943342938296
"45",8,5.33333333333333,0.144827586206897,30,"menulis","menulis; metakognitif; strategi metakognitif; keterampilan menulis; menulis akademik; kesadaran metakognitif; kesalahan; berbicara; instrumen; keterampilan berbicara; strategi; regulasi emosi; teks berita; penekanan kata; wordwall; curriculum vitae; fiksi; ingin tahu; kohesi gramatikal; kohesi leksikal; lamaran kerja; surat dinas; surat; regulasi motivasi; autonomi; bahasa indonesia; berinovasi; berkreasi; pengumuman; surat tugas","menulis; metakognitif; strategi metakognitif; keterampilan menulis; menulis akademik; kesadaran metakognitif; kesalahan; berbicara; instrumen; keterampilan berbicara","PBSI",0.865352974326026,-0.925414213703707
"46",9,4.58823529411765,0.257352941176471,17,"lagu","lagu; anak; emosi; album musik; lirik; bercerita; disabilitas; gaya bahasa kiasan; hiponim; keyakinan; kosakata; pantomim; sinonim; syair; tuli; teknologi; permasalah sosial","lagu; anak; emosi; album musik; lirik; bercerita; disabilitas; gaya bahasa kiasan; hiponim; keyakinan","PBSI",0.248757907114423,-0.231564298480801
"47",10,2.75,0.392857142857143,8,"berita","berita; media massa; berita daring; merdeka belajar; representasi; wacana kritis; struktur pemberitaan; penanda wacana","berita; media massa; berita daring; merdeka belajar; representasi; wacana kritis; struktur pemberitaan; penanda wacana","PBSI",-1.27244702844053,0.603976979073079
"48",19,5,0.571428571428571,8,"teks tanggapan","teks tanggapan; hasil belajar; problem based learning; kooperatif; motivasi belajar; stad; kemampuan menulis; teks persuasif","teks tanggapan; hasil belajar; problem based learning; kooperatif; motivasi belajar; stad; kemampuan menulis; teks persuasif","PBSI",0.58950781267873,1.70507788747742
"49",20,3,0.6,6,"serial film","serial film; humor verbal; interjeksi; komedi; pancasila; pendidikan karakter","serial film; humor verbal; interjeksi; komedi; pancasila; pendidikan karakter","PBSI",-1.06556315720506,1.88125403282211
"50",1,5.66666666666667,0.515151515151515,12,"perbankan","perbankan; ukuran perusahaan; profitabilitas; likuiditas; kinerja keuangan; solvabilitas; nilai perusahaan; efisiensi; kebijakan hutang; dewan direksi; dewan komisaris; struktur modal","perbankan; ukuran perusahaan; profitabilitas; likuiditas; kinerja keuangan; solvabilitas; nilai perusahaan; efisiensi; kebijakan hutang; dewan direksi","PE Akuntansi",0.639650004660389,1.75119265983481
"51",2,5.16,0.19,25,"motivasi belajar","motivasi belajar; hasil belajar; minat belajar; media; media pembelajaran; kooperatif; literasi digital; metode pengajaran; berpikir kritis; kecerdasan emosional; pedagogi reflektif; tgt; problem based learning; variasi mengajar; jigsaw; kesulitan belajar; kualitas pembelajaran; kemandirian belajar; kreativitas; make a match; pemahaman; perilaku belajar; stad; penghargaan; lingkungan sosial","motivasi belajar; hasil belajar; minat belajar; media; media pembelajaran; kooperatif; literasi digital; metode pengajaran; berpikir kritis; kecerdasan emosional","PE Akuntansi",0.227756656686614,-0.595788240260224
"52",3,6.32,0.22,25,"persepsi","persepsi; guru; literasi keuangan; kurikulum merdeka; minat; motivasi; ppg; kesejahteraan guru; kompetensi pedagogik; kompetensi profesional; akuntansi keuangan; bimbingan orang tua; perilaku keuangan; uang saku; profil pelajar pancasila; investasi; keputusan berinvestasi; kesulitan; pembelajaran berbasis projek; penilaian diagnostik; penilaian formatif; modul ajar; penilaian sumatif; perguruan tinggi; karakter","persepsi; guru; literasi keuangan; kurikulum merdeka; minat; motivasi; ppg; kesejahteraan guru; kompetensi pedagogik; kompetensi profesional","PE Akuntansi",1.17077563757394,-0.379244802134027
"53",4,3.36363636363636,0.254545454545455,11,"prestasi belajar","prestasi belajar; teman sebaya; dukungan orang tua; fasilitas belajar; kebiasaan belajar; perilaku konsumtif; distraksi smartphone; konsentrasi belajar; keterlibatan; stres; kompetensi guru","prestasi belajar; teman sebaya; dukungan orang tua; fasilitas belajar; kebiasaan belajar; perilaku konsumtif; distraksi smartphone; konsentrasi belajar; keterlibatan; stres","PE Akuntansi",-1.23259248612949,-0.129891752170525
"54",5,3.88888888888889,0.183006535947712,18,"minat menjadi guru","minat menjadi guru; lingkungan keluarga; kesiapan mengajar; kesiapan menjadi guru; efikasi diri; kompetensi kepribadian; merdeka belajar; kompetensi keguruan; profesi guru; motivasi mengajar; prestasi akademik; sikap keguruan; calon guru; flow akademik; pendidikan karakter; metode pembelajaran; lingkungan sekolah; problematika","minat menjadi guru; lingkungan keluarga; kesiapan mengajar; kesiapan menjadi guru; efikasi diri; kompetensi kepribadian; merdeka belajar; kompetensi keguruan; profesi guru; motivasi mengajar","PE Akuntansi",-0.805589812791447,-0.646267865270037
"55",1,5,0.316666666666667,16,"hasil belajar","hasil belajar; problem based learning; media; media pembelajaran; partisipasi belajar; lkpd; berpikir kritis; assemblr edu; distraksi smartphone; flipped learning; kemandirian; minat belajar; inkuiri; inkuiri terbimbing; modul; modul-el","hasil belajar; problem based learning; media; media pembelajaran; partisipasi belajar; lkpd; berpikir kritis; assemblr edu; distraksi smartphone; flipped learning","PE Ekonomi",1.37274323910782,-0.0816722652411715
"56",2,4.33333333333333,0.254901960784314,18,"literasi keuangan","literasi keuangan; pendapatan; e-wallet; keluarga muda; kepuasan keuangan; keputusan pembelian; perilaku keuangan; gaya hidup; pengelolaan keuangan; jumlah kendaraan; kelompok referensi; kesadaran kelestarian lingkungan; konrol diri; konsumsi bbm; uang saku; motivasi konsumen; citra merek; harga","literasi keuangan; pendapatan; e-wallet; keluarga muda; kepuasan keuangan; keputusan pembelian; perilaku keuangan; gaya hidup; pengelolaan keuangan; jumlah kendaraan","PE Ekonomi",-0.0393764133868795,-1.04968362895349
"57",3,4.38461538461539,0.346153846153846,13,"pertumbuhan ekonomi","pertumbuhan ekonomi; indeks pembangunan manusia; kemiskinan; pengangguran terbuka; covid-19; pandemi; belanja modal; desentralisasi fiskal; pendapatan perkapita; pengangguran; ratio gini; pertumbuhan ekonomi daerah; upah minimum","pertumbuhan ekonomi; indeks pembangunan manusia; kemiskinan; pengangguran terbuka; covid-19; pandemi; belanja modal; desentralisasi fiskal; pendapatan perkapita; pengangguran","PE Ekonomi",0.0692481752665767,0.380467470059818
"58",7,4.375,0.275,16,"efikasi diri","efikasi diri; motivasi belajar; persepsi; guru; kemandirian belajar; kooperatif; orang tua; teman sebaya; stad; ekspektasi pendapatan; fasilitas belajar; kesulitan belajar; kewirausahaan; lingkungan keluarga; minat berwirausaha; lingkungan belajar","efikasi diri; motivasi belajar; persepsi; guru; kemandirian belajar; kooperatif; orang tua; teman sebaya; stad; ekspektasi pendapatan","PE Ekonomi",0.0488810648940449,-0.734695804253455
"59",9,3.66666666666667,0.416666666666667,9,"investasi","investasi; upah minimum provinsi; indeks ketimpangan gender; inflasi; lama sekolah; partisipasi angkatan kerja wanita; pengeluaran pemerintah; produk domestik regional bruto; tenaga kerja","investasi; upah minimum provinsi; indeks ketimpangan gender; inflasi; lama sekolah; partisipasi angkatan kerja wanita; pengeluaran pemerintah; produk domestik regional bruto; tenaga kerja","PE Ekonomi",-1.45149606588156,1.4855842283883
