AU;AF;CR;AB;AR;BE;BN;BP;C1;C3;CA;CL;CT;CY;DA;DE;DI;DT;EA;EF;EI;EM;EP;ER;FU;FX;GA;GP;HO;ID;IS;J9;JI;LA;NR;OA;OI;PA;PD;PG;PI;PM;PN;PT;PU;PY;RI;RP;SC;SE;SN;SO;SP;TC;TI;U1;U2;UT;VL;WC;WE;Z9;C1raw;DB;AU_UN;AU1_UN;AU_UN_NR;SR_FULL;SR
191114041;191114041;;;;;;;BK;;;;;;31/12/2024;"harga diri; asertif";;;;;;;;;;;;;;"harga diri; asertif";;;;;;;;;20221;;;;;;;2022;;;;;;;;;PENGARUH HARGA DIRI TERHADAP PERILAKU ASERTIF MAHASISWA MANGGARAI YANG BERKULIAH DI YOGYAKARTA;;;;;;;;;;;;;;
191114095;191114095;;;;;;;BK;;;;;;31/12/2024;"kepercayaan diri; remaja";;;;;;;;;;;;;;"kepercayaan diri; remaja";;;;;;;;;20221;;;;;;;2022;;;;;;;;;KEPERCAYAAN DIRI PADA REMAJA PUTRI DI LKSA YOGYAKARTA;;;;;;;;;;;;;;
191114061;191114061;;;;;;;BK;;;;;;31/12/2024;"harga diri; fear of missing out; remaja; media sosial; Instagram";;;;;;;;;;;;;;"harga diri; fear of missing out; remaja; media sosial; Instagram";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN HARGA DIRI DENGAN FEAR OF MISSING OUT PADA REMAJA YANG MENGGUNAKAN MEDIA SOSIAL INSTAGRAM;;;;;;;;;;;;;;
191114069;191114069;;;;;;;BK;;;;;;31/12/2024;"motivasi belajar; layanan bimbingan klasikal; experiential learning; pascapandemi";;;;;;;;;;;;;;"motivasi belajar; layanan bimbingan klasikal; experiential learning; pascapandemi";;;;;;;;;20221;;;;;;;2022;;;;;;;;;PENINGKATAN MOTIVASI BELAJAR MELALUI METODE LAYANAN BIMBINGAN KLASIKAL DENGAN TEKNIK EXPERENTIAL LEARNING DI ERA PASCA PANDEMI (PENELITIAN TINDAKAN BIMBINGAN DAN KONSELING PADA SISWA SMP N 3 YOGYAKARTA);;;;;;;;;;;;;;
191114032;191114032;;;;;;;BK;;;;;;31/12/2024;"profil sosial; wanita; pemimpin; organisasi mahasiswa";;;;;;;;;;;;;;"profil sosial; wanita; pemimpin; organisasi mahasiswa";;;;;;;;;20221;;;;;;;2022;;;;;;;;;PROFIL SOSIAL WANITA PEMIMPIN DALAM ORGANISASI MAHASISWA UNIVERISTAS SANATA DHARMA;;;;;;;;;;;;;;
191114003;191114003;;;;;;;BK;;;;;;31/12/2024;"minat; layanan konseling individual; studi deskriptif";;;;;;;;;;;;;;"minat; layanan konseling individual; studi deskriptif";;;;;;;;;20221;;;;;;;2022;;;;;;;;;MINAT SISWA DALAM MENGIKUTI LAYANAN KONSELING INDIVIDUAL ( STUDI DESKRIPTIF PADA SISWA KELAS VIII SMP STELLA DUCE 2 YOGYAKARTA T.A. 2022/2023);;;;;;;;;;;;;;
191114049;191114049;;;;;;;BK;;;;;;31/12/2024;"toxic relationship; pacaran";;;;;;;;;;;;;;"toxic relationship; pacaran";;;;;;;;;20221;;;;;;;2022;;;;;;;;;FENOMENA TOXIC RELATIONSHIP DALAM BERPACARAN PADA MAHASISWA BK ANGKATAN 2020-2021;;;;;;;;;;;;;;
191114087;191114087;;;;;;;BK;;;;;;31/12/2024;"pola asuh demokratis; kepemimpinan heroik";;;;;;;;;;;;;;"pola asuh demokratis; kepemimpinan heroik";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN POLA ASUH DEMOKRATIS DENGAN KEPEMIMPINAN HEROIK PADA MAHASISWA UNIVERSITAS SANATA DHARMA;;;;;;;;;;;;;;
191114107;191114107;;;;;;;BK;;;;;;31/12/2024;"pola asuh otoriter; resiliensi; remaja";;;;;;;;;;;;;;"pola asuh otoriter; resiliensi; remaja";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN ANTARA POLA ASUH OTORITER DENGAN RESILIENSI PADA REMAJA;;;;;;;;;;;;;;
191114099;191114099;;;;;;;BK;;;;;;31/12/2024;"bermain; game online; kekerasan; altruisme; remaja";;;;;;;;;;;;;;"bermain; game online; kekerasan; altruisme; remaja";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN ANTARA INTENSITAS  BERMAIN GAME ONLINE BERUNSUR KEKERASAN DENGAN TINGKAT ALTRUISME PADA REMAJA;;;;;;;;;;;;;;
191114063;191114063;;;;;;;BK;;;;;;31/12/2024;"toxic relationship; pacaran";;;;;;;;;;;;;;"toxic relationship; pacaran";;;;;;;;;20221;;;;;;;2022;;;;;;;;;FENOMENA TOXIC RELATIONSHIP DALAM BERPACARAN PADA MAHASISWA PENDIDIKAN AGAMA KATOLIK ANGKATAN 2020 DAN 2021 UNIVERSITAS SANATA DHARMA;;;;;;;;;;;;;;
191114008;191114008;;;;;;;BK;;;;;;31/12/2024;"toxic relationship; pacaran";;;;;;;;;;;;;;"toxic relationship; pacaran";;;;;;;;;20221;;;;;;;2022;;;;;;;;;FENOMENA TOXIC RELATIONSHIP DALAM BERPACARAN DI KALANGAN MAHASISWA PROGRAM STUDI PENDIDIKAN GURU SEKOLAH DASAR ANGKATAN 2020 DAN 2021 UNIVERSITAS SANATA DHARMA YOGYAKARTA;;;;;;;;;;;;;;
191114109;191114109;;;;;;;BK;;;;;;31/12/2024;"keharmonisan keluarga; interpersonal";;;;;;;;;;;;;;"keharmonisan keluarga; interpersonal";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN KEHARMONISAN KELUARGA DENGAN KOMPETENSI INTERPERSONAL PADA MAHASISWA BIMBINGAN DAN KONSELING UNIVERSITAS SANATA DHARMA;;;;;;;;;;;;;;
191114029;191114029;;;;;;;BK;;;;;;31/12/2024;"interpersonal; konsumsi; minumal beralkohol";;;;;;;;;;;;;;"interpersonal; konsumsi; minumal beralkohol";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN KOMPETENSI INTERPERSONAL DENGAN INTENSITAS MENGONSUMSI MINUMAN BERALKOHOL PADA MAHASISWA UNIVERSITAS SANATA DHARMA;;;;;;;;;;;;;;
181114051;181114051;;;;;;;BK;;;;;;31/12/2024;"interpersonal; waria; komunitas kebaya";;;;;;;;;;;;;;"interpersonal; waria; komunitas kebaya";;;;;;;;;20221;;;;;;;2022;;;;;;;;;KOMPETENSI INTERPERSONAL PARA WARIA KOMUNITAS KEBAYA, YOGYAKARTA ;;;;;;;;;;;;;;
191114081;191114081;;;;;;;BK;;;;;;31/12/2024;"konsep diri; kepercayaan diri";;;;;;;;;;;;;;"konsep diri; kepercayaan diri";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN KONSEP DIRI DENGAN KEPERCAYAAN DIRI MAHASISWA BIMBINGAN KONSELING ANGKATAN 2020 UNIVERSITAS SANATA DHARMA ;;;;;;;;;;;;;;
191114052;191114052;;;;;;;BK;;;;;;31/12/2024;"orang tua; prestasi belajar";;;;;;;;;;;;;;"orang tua; prestasi belajar";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN PERAN ORANG TUA TERHADAP PRESTASI BELAJAR SISWA KELAS X SMA BOPKRI 2 YOGYAKARTA;;;;;;;;;;;;;;
191114034;191114034;;;;;;;BK;;;;;;31/12/2024;"interpersonal; penari";;;;;;;;;;;;;;"interpersonal; penari";;;;;;;;;20221;;;;;;;2022;;;;;;;;;KOMPETENSI INTERPERSONAL PADA MAHASISWA PENARI DI YOGYAKARTA;;;;;;;;;;;;;;
191114101;191114101;;;;;;;BK;;;;;;31/12/2024;"dukungan sosial; teman sebaya; perantau; nonperantau";;;;;;;;;;;;;;"dukungan sosial; teman sebaya; perantau; nonperantau";;;;;;;;;20221;;;;;;;2022;;;;;;;;;PERBEDAAN DUKUNGAN SOSIAL TEMAN SEBAYA YANG DIRASAKAN PADA MAHASISWA PERANTAU DAN NON-PERANTAU;;;;;;;;;;;;;;
191114040;191114040;;;;;;;BK;;;;;;31/12/2024;"regulasi emosi; prososial";;;;;;;;;;;;;;"regulasi emosi; prososial";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN REGULASI EMOSI DENGAN PERILAKU PROSOSIAL PADA SISWA KELAS 10 SMA BOPKRI 2 YOGYAKARTA;;;;;;;;;;;;;;
191114057;191114057;;;;;;;BK;;;;;;31/12/2024;"penyesuaian diri; konsep diri";;;;;;;;;;;;;;"penyesuaian diri; konsep diri";;;;;;;;;20221;;;;;;;2022;;;;;;;;;PENYESUAIAN DIRI MAHASISWA NTT YANG KULIAH DI YOGYAKARTA DITINJAU DARI KONSEP DIRI ;;;;;;;;;;;;;;
191114016;191114016;;;;;;;BK;;;;;;31/12/2024;"tekanan psikologis; novel";;;;;;;;;;;;;;"tekanan psikologis; novel";;;;;;;;;20221;;;;;;;2022;;;;;;;;;"TEKANAN PSIKOLOGIS YANG TERIDENTIFIKASI DALAM BUKU NOVEL ""MENYUSU CELENG"" KARYA SINDHUNATA, SJ";;;;;;;;;;;;;;
191114083;191114083;;;;;;;BK;;;;;;31/12/2024;"interpersonal; kecanduan; game online";;;;;;;;;;;;;;"interpersonal; kecanduan; game online";;;;;;;;;20221;;;;;;;2022;;;;;;;;;PERBEDAAN KOMPETENSI INTERPERSONAL PADA MAHASISWA BIMBINGAN DAN KONSELING UNIVERSITAS SANATA DHARMA YOGYAKARTA BERDASARKAN TINGKAT KECANDUAN BERMAIN GAME ONLINE;;;;;;;;;;;;;;
191114108;191114108;;;;;;;BK;;;;;;31/12/2024;"waktu; bermain; game online; ketekunan belajar";;;;;;;;;;;;;;"waktu; bermain; game online; ketekunan belajar";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN INTENSITAS PENGGUNAAN WAKTU UNTUK BERMAIN GAME ONLINE TERHADAP KETEKUNAN BELAJAR ANAK DI SMP NEGERI 44 JAKARTA;;;;;;;;;;;;;;
191114019;191114019;;;;;;;BK;;;;;;31/12/2024;"pola asuh demokratis; hidup sehat";;;;;;;;;;;;;;"pola asuh demokratis; hidup sehat";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN POLA ASUH DEMOKRATIS DENGAN PERILAKU HIDUP SEHAT PADA MAHASISWA UNIVERSITAS SANATA DHARMA;;;;;;;;;;;;;;
191114058;191114058;;;;;;;BK;;;;;;31/12/2024;"konsep diri; kecemasan komunikasi interpersonal";;;;;;;;;;;;;;"konsep diri; kecemasan komunikasi interpersonal";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN KONSEP DIRI DAN KECEMASAN KOMUNIKASI INTERPERSONAL PADA MAHASISWA BK ANGKATAN 2020 UNIVERSITAS SANATA DHARMA YOGYAKARTA;;;;;;;;;;;;;;
191114012;191114012;;;;;;;BK;;;;;;31/12/2024;"kematangan karier; jenis kelamin";;;;;;;;;;;;;;"kematangan karier; jenis kelamin";;;;;;;;;20221;;;;;;;2022;;;;;;;;;TINGKAT KEMATANGAN KARIR PADA PELAJAR SMA DITINJAU DARI PERBEDAAN JENIS KELAMIN (STUDI DESKRIPSI KUANTITATIF PADA PELAJAR KELAS XI SMA BOPKRI 2 YOGYAKARTA TAHUN AJARAN 2022/2023;;;;;;;;;;;;;;
191114014;191114014;;;;;;;BK;;;;;;31/12/2024;"dukungan sosial; orang tua; kepercayaan diri; remaja";;;;;;;;;;;;;;"dukungan sosial; orang tua; kepercayaan diri; remaja";;;;;;;;;20221;;;;;;;2022;;;;;;;;;KONTRIBUSI DUKUNGAN SOSIAL ORANG TUA DENGAN KEPERCAYAAN DIRI REMAJA PADA SISWA KELAS IX SMPN 1 KALASAN ;;;;;;;;;;;;;;
191114104;191114104;;;;;;;BK;;;;;;31/12/2024;"kesepian; indekos; orang tua; keluarga";;;;;;;;;;;;;;"kesepian; indekos; orang tua; keluarga";;;;;;;;;20221;;;;;;;2022;;;;;;;;;PERBEDAAN TINGKAT KESEPIAN MAHASISWA YANG TINGGAL DI KOST DAN YANG TINGGAL BERSAMA ORANG TUA/KELUARGA PADA PROGRAM STUDI BIMBINGAN DAN KONSELING UNIVERSITAS SANATA DHARMA;;;;;;;;;;;;;;
191114030;191114030;;;;;;;BK;;;;;;31/12/2024;kemandirian belajar;;;;;;;;;;;;;;kemandirian belajar;;;;;;;;;20221;;;;;;;2022;;;;;;;;;TINGKAT KEMANDIRIAN BELAJAR MAHASISWA BIMBINGAN DAN KONSELING ANGKATAN 2022 UNIVERSITAS SANATA DHARMA YOGYAKARTA;;;;;;;;;;;;;;
191114064;191114064;;;;;;;BK;;;;;;31/12/2024;"konsumtif; perantau; produk online";;;;;;;;;;;;;;"konsumtif; perantau; produk online";;;;;;;;;20221;;;;;;;2022;;;;;;;;;TINGKAT PERILAKU KONSUMTIF MAHASISWA PERANTAU MEMBELI PRODUK ONLINE;;;;;;;;;;;;;;
191114002;191114002;;;;;;;BK;;;;;;31/12/2024;"resiliensi; kekerasan verbal";;;;;;;;;;;;;;"resiliensi; kekerasan verbal";;;;;;;;;20221;;;;;;;2022;;;;;;;;;TINGKAT RESILIENSI MAHASISWI YANG MENDAPATKAN KEKERASAN VERBAL ;;;;;;;;;;;;;;
181114067;181114067;;;;;;;BK;;;;;;31/12/2024;"motivasi; layanan bimbingan klasikal";;;;;;;;;;;;;;"motivasi; layanan bimbingan klasikal";;;;;;;;;20221;;;;;;;2022;;;;;;;;;MOTIVASI SISWA DALAM MENGIKUTI LAYANAN BIMBINGAN KLASIKAL DI KELAS VIII SMP NEGERI 1 YOGYAKARTA;;;;;;;;;;;;;;
191114035;191114035;;;;;;;BK;;;;;;31/12/2024;motivasi belajar;;;;;;;;;;;;;;motivasi belajar;;;;;;;;;20221;;;;;;;2022;;;;;;;;;UPAYA GURU BK DALAM MENINGKATKAN MOTIVASI BELAJAR SISWA DI SMKN 5 YOGYAKARTA;;;;;;;;;;;;;;
191114054;191114054;;;;;;;BK;;;;;;31/12/2024;"kecerdasan spiritual; personal branding";;;;;;;;;;;;;;"kecerdasan spiritual; personal branding";;;;;;;;;20221;;;;;;;2022;;;;;;;;;KORELASI ANTARA KECERDASAN SPIRITUAL DAN KEMAMPUAN MEMBANGUN PERSONAL BRANDING SISWA-SISWI SMA KOLESE LOYOLA SEMARANG;;;;;;;;;;;;;;
191114094;191114094;;;;;;;BK;;;;;;31/12/2024;"keaktifan berorganisasi; prokrastinasi akademik";;;;;;;;;;;;;;"keaktifan berorganisasi; prokrastinasi akademik";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN ANTARA KEAKTIFAN BERORGANISASI DENGAN PROKRASTINASI AKADEMIK PADA MAHASISWA;;;;;;;;;;;;;;
191114027;191114027;;;;;;;BK;;;;;;31/12/2024;"penerimaan diri; diabetes; amputasi";;;;;;;;;;;;;;"penerimaan diri; diabetes; amputasi";;;;;;;;;20221;;;;;;;2022;;;;;;;;;PENERIMAAN DIRI PENDERITA DIABETES YANG MENGALAMI AMPUTASI ;;;;;;;;;;;;;;
191114044;191114044;;;;;;;BK;;;;;;31/12/2024;"dukungan sosial; teman sebaya; identitas diri; remaja";;;;;;;;;;;;;;"dukungan sosial; teman sebaya; identitas diri; remaja";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN DUKUNGAN SOSIAL TEMAN SEBAYA DENGAN PEMBENTUKAN IDENTITAS DIRI PADA REMAJA DI SMA NEGERI 1 PURWODADI;;;;;;;;;;;;;;
191114088;191114088;;;;;;;BK;;;;;;31/12/2024;"sikap; konseling industri";;;;;;;;;;;;;;"sikap; konseling industri";;;;;;;;;20221;;;;;;;2022;;;;;;;;;SIKAP KARYAWAN TERHADAP KONSELING INDUSTRI ( STUDI PADA KARYAWAN PT. RISKY TRUSSINDO PERKASA);;;;;;;;;;;;;;
191114015;191114015;;;;;;;BK;;;;;;31/12/2024;"prososial; motivasi belajar";;;;;;;;;;;;;;"prososial; motivasi belajar";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN PERILAKU PROSOSIAL DENGAN MOTIVASI BELAJAR PADA SISWA KELAS X SMK PL LEONARDO KLATEN;;;;;;;;;;;;;;
191114013;191114013;;;;;;;BK;;;;;;31/12/2024;"media sosial; kepercayaan diri";;;;;;;;;;;;;;"media sosial; kepercayaan diri";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN INTENSITAS PENGGUNAAN MEDIA SOSIAL DENGAN KEPERCAYAAN DIRI PADA SISWA KELAS XII SMK PANGUDI LUHUR LEONARDO KLATEN;;;;;;;;;;;;;;
191114096;191114096;;;;;;;BK;;;;;;31/12/2024;"pola asuh demokratis; harga diri";;;;;;;;;;;;;;"pola asuh demokratis; harga diri";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN ANTARA POLA ASUH DEMOKRATIS DENGAN HARGA DIRI PADA SISWA DI SMA N 1 DUKUN MAGELANG;;;;;;;;;;;;;;
191114050;191114050;;;;;;;BK;;;;;;31/12/2024;"memilih; indekos; asrama";;;;;;;;;;;;;;"memilih; indekos; asrama";;;;;;;;;20221;;;;;;;2022;;;;;;;;;PERBEDAAN KEMAMPUAN MEMILIH PADA SISWA INDEKOS DENGAN SISWA ASRAMA;;;;;;;;;;;;;;
191114023;191114023;;;;;;;BK;;;;;;31/12/2024;"stres; motivasi penyusunan skripsi";;;;;;;;;;;;;;"stres; motivasi penyusunan skripsi";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN ANTARA TINGKAT STRES DENGAN MOTIVASI PENYUSUNAN SKRIPSI PADA MAHASISWA BIMBINGAN DAN KONSELING ANGKATAN 2019 UNIVERSITAS SANATA DHARMA;;;;;;;;;;;;;;
191114092;191114092;;;;;;;BK;;;;;;31/12/2024;resiliensi;;;;;;;;;;;;;;resiliensi;;;;;;;;;20221;;;;;;;2022;;;;;;;;;TINGKAT RESILIENSI MAHASISWA NTT YANG KULIAH DI YOGYAKARTA;;;;;;;;;;;;;;
191114093;191114093;;;;;;;BK;;;;;;31/12/2024;"persepsi; kedisiplinan; hasil belajar";;;;;;;;;;;;;;"persepsi; kedisiplinan; hasil belajar";;;;;;;;;20221;;;;;;;2022;;;;;;;;;KORELASI PERSEPSI SISWA TENTANG KEDISIPLINAN GURU DENGAN HASIL BELAJAR SISWA (STUDI KORELASI PADA SISWA KELAS XI AKUNTANSI DI SMK NEGERI 1 DEPOK SLEMAN YOGYAKARTA);;;;;;;;;;;;;;
191114022;191114022;;;;;;;BK;;;;;;31/12/2024;layanan bimbingan dan konseling daring;;;;;;;;;;;;;;layanan bimbingan dan konseling daring;;;;;;;;;20221;;;;;;;2022;;;;;;;;;EFEKTIVITAS LAYANAN BIMBINGAN DAN KONSELING SECARA DARING DI SMK PL LEONARDO KLATEN;;;;;;;;;;;;;;
191114011;191114011;;;;;;;BK;;;;;;31/12/2024;"kepercayaan diri; komunikasi interpersonal";;;;;;;;;;;;;;"kepercayaan diri; komunikasi interpersonal";;;;;;;;;20221;;;;;;;2022;;;;;;;;;HUBUNGAN ANTARA KEPERCAYAAN DIRI DENGAN KOMUNIKASI INTERPERSONAL PADA PESERTA DIDIK KELAS XII SMK PL LEONARDO KLATEN ;;;;;;;;;;;;;;
191114018;191114018;;;;;;;BK;;;;;;31/12/2024;"problem focused coping; humaniora; nonhumaniora; studi komparatif";;;;;;;;;;;;;;"problem focused coping; humaniora; nonhumaniora; studi komparatif";;;;;;;;;20221;;;;;;;2022;;;;;;;;;PERBEDAAN PROBLEM FOCUSED COPING PADA MAHASISWA JURUSAN HUMANIORA DAN JURUSAN NON-HUMANIORA (STUDI KOMPARATIF PADA MAHASISWA PROGRAM STUDI BIMBINGAN DAN KONSELING DENGAN PROGRAM STUDI INFORMATIKA DI UNIVERSITAS SANATA DHARMA YOGYAKARTA);;;;;;;;;;;;;;
191114026;191114026;;;;;;;BK;;;;;;31/12/2024;"motivasi belajar; bermain; game online; mobile legends";;;;;;;;;;;;;;"motivasi belajar; bermain; game online; mobile legends";;;;;;;;;20221;;;;;;;2022;;;;;;;;;MOTIVASI BELAJAR MAHASISWA PROGRAM STUDI BIMBINGAN DAN KONSELING YANG BERMAIN GAME MOBILE LEGENDS DI UNIVERSITAS SANATA DHARMA;;;;;;;;;;;;;;
191114100;191114100;;;;;;;BK;;;;;;31/12/2024;"makna hidup; single parent";;;;;;;;;;;;;;"makna hidup; single parent";;;;;;;;;20221;;;;;;;2022;;;;;;;;;MAKNA HIDUP PADA MAHASISWA DENGAN SINGLE PARENT DI PROGRAM STUDI BIMBINGAN DAN KONSELING UNIVERSITAS SANATA DHARMA (DITINJAU DARI KONSEP DIRI YANG DIMILIKI MAHASISWA);;;;;;;;;;;;;;
191114053;191114053;;;;;;;BK;;;;;;31/12/2024;"pendapat siswa; motivasi belajar; pembelajaran daring";;;;;;;;;;;;;;"pendapat siswa; motivasi belajar; pembelajaran daring";;;;;;;;;20221;;;;;;;2022;;;;;;;;;STUDI PENDAPAT SISWA TENTANG FAKTOR-FAKTOR PENYEBAB MOTIVASI BELAJAR RENDAH DALAM PEMBELAJARAN DARING PADA SISWA KELAS XII SMK PANGUDI LUHUR LEONARDO KLATEN ;;;;;;;;;;;;;;
191114059;191114059;;;;;;;BK;;;;;;31/12/2024;"persepsi; layanan konseling individual";;;;;;;;;;;;;;"persepsi; layanan konseling individual";;;;;;;;;20221;;;;;;;2022;;;;;;;;;PERSEPSI SISWA TERHADAP LAYANAN KONSELING INDIVIDUAL PADA SISWA KELAS XI SMA STELLA DUCE 2 YOGYAKARTA TAHUN AJARAN 2022/2023;;;;;;;;;;;;;;
191114009;191114009;;;;;;;BK;;;;;;31/12/2024;"gadget; interaksi sosial";;;;;;;;;;;;;;"gadget; interaksi sosial";;;;;;;;;20221;;;;;;;2022;;;;;;;;;PENGARUH INTENSITAS PENGGUNAAN GADGET TERHADAP INTERAKSI SOSIAL MAHASISWA PRODI BIMBINGAN DAN KONSELING UNIVERSITAS SANATA DHARMA YOGYAKARTA;;;;;;;;;;;;;;
191114001;191114001;;;;;;;BK;;;;;;31/12/2024;interpersonal;;;;;;;;;;;;;;interpersonal;;;;;;;;;20221;;;;;;;2022;;;;;;;;;KOMPETENSI INTERPERSONAL PADA MAHASISWA NUSA TENGGARA TIMUR DI YOGYAKARTA;;;;;;;;;;;;;;
201114073;201114073;;;;;;;BK;;;;;;31/12/2024;"motivasi berprestasi akademik; narkotika";;;;;;;;;;;;;;"motivasi berprestasi akademik; narkotika";;;;;;;;;20231;;;;;;;2023;;;;;;;;;MOTIVASI BERPRESTASI AKADEMIK PADA MAHASISWA MANTAN PENGGUNA NARKOTIKA;;;;;;;;;;;;;;
