"cluster","centrality","density","size","cluster_title","cluster_members","sample_members","department"
11,2.25,0.666666666666667,4,"persepsi","persepsi; hasil belajar; kedisiplinan; calon mahasiswa","persepsi; hasil belajar; kedisiplinan; calon mahasiswa","BK"
12,2,1,3,"daya juang akademik","daya juang akademik; pembelajaran offline; pembelajaran online","daya juang akademik; pembelajaran offline; pembelajaran online","BK"
13,2,1,3,"dunia malam","dunia malam; keterlibatan; tanggung jawab akademik","dunia malam; keterlibatan; tanggung jawab akademik","BK"
14,1,1,2,"formasi cerdas dan humanis","formasi cerdas dan humanis; minat belajar","formasi cerdas dan humanis; minat belajar","BK"
15,1,1,2,"gadget","gadget; interaksi sosial","gadget; interaksi sosial","BK"
16,1,1,2,"gangguan gadget","gangguan gadget; kedisiplinan belajar","gangguan gadget; kedisiplinan belajar","BK"
17,3,1,4,"gaya hidup","gaya hidup; hedonisme; konformitas; lingkungan pertemanan","gaya hidup; hedonisme; konformitas; lingkungan pertemanan","BK"
18,1,1,2,"gender","gender; problem solving","gender; problem solving","BK"
19,2,1,3,"hiperrealitas","hiperrealitas; interaksi parasosial; k-pop","hiperrealitas; interaksi parasosial; k-pop","BK"
20,3,1,4,"humaniora","humaniora; nonhumaniora; problem focused coping; studi komparatif","humaniora; nonhumaniora; problem focused coping; studi komparatif","BK"
21,2.44444444444444,0.277777777777778,9,"interpersonal","interpersonal; komunitas kebaya; konsumsi; kecanduan; minumal beralkohol; waria; keharmonisan keluarga; merokok; penari","interpersonal; komunitas kebaya; konsumsi; kecanduan; minumal beralkohol; waria; keharmonisan keluarga; merokok; penari","BK"
22,1,1,2,"karakter","karakter; kerja sama","karakter; kerja sama","BK"
23,1,1,2,"keaktifan berorganisasi","keaktifan berorganisasi; prokrastinasi akademik","keaktifan berorganisasi; prokrastinasi akademik","BK"
24,1,1,2,"kecemasan akademik","kecemasan akademik; mahasiswa baru","kecemasan akademik; mahasiswa baru","BK"
25,1,1,2,"kecerdasan spiritual","kecerdasan spiritual; personal branding","kecerdasan spiritual; personal branding","BK"
26,1,1,2,"kepribadian","kepribadian; kreativitas mengajar","kepribadian; kreativitas mengajar","BK"
27,2,1,3,"kesiapan berwirausaha","kesiapan berwirausaha; minat berwirausaha; wirausaha","kesiapan berwirausaha; minat berwirausaha; wirausaha","BK"
28,1,1,2,"kestabilan emosi","kestabilan emosi; seni karawitan","kestabilan emosi; seni karawitan","BK"
29,1,1,2,"konseling industri","konseling industri; sikap","konseling industri; sikap","BK"
30,1,1,2,"makna hidup","makna hidup; single parent","makna hidup; single parent","BK"
31,1,1,2,"mappi","mappi; rusuh","mappi; rusuh","BK"
32,1,1,2,"motivasi berprestasi akademik","motivasi berprestasi akademik; narkotika","motivasi berprestasi akademik; narkotika","BK"
33,1,1,2,"motivasi kerja","motivasi kerja; petani","motivasi kerja; petani","BK"
34,1,1,2,"motivasi penyusunan skripsi","motivasi penyusunan skripsi; stres","motivasi penyusunan skripsi; stres","BK"
35,1,1,2,"novel","novel; tekanan psikologis","novel; tekanan psikologis","BK"
36,1,1,2,"point of view","point of view; skizofrenia","point of view; skizofrenia","BK"
